Name,PlanetOfOrigin,Intelligence,TechnicalLevel,PreferredPlanetType,PreferredClimate,Colonies,ChanceInMixedPopulation,MaxPercentageOnMixedWorlds,CiadanPresence,AccessLevel,CouncilRelations,Playable,Description
Hobos,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Khunds,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Khurtarnan,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Nebari,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Nuxx,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Silfen,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Than-Thre-Kull,,COMMON,BRONZE,L,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Xilivn,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Zen Rigeln,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Zenetan,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Abadjil,,COMMON,BRONZE,M,FIERY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Onnies,,COMMON,BRONZE,M,FIERY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Targum,,COMMON,BRONZE,R,FIERY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Trallixians,,COMMON,BRONZE,H,FIERY,1,0%,0%,0%,L5,UNKNOWN,FALSE,"Long, stick-like humanoids. They believe that when something dies, it continues living in another time and place."
Agorian,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Akaali,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arisians,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arkonides,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Brunnen,,COMMON,BRONZE,H,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Callineans,,COMMON,BRONZE,H,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Fullyan,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Gravhar,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Lennidan,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Phagann,,COMMON,BRONZE,M,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Vrusk,,COMMON,BRONZE,L,MARSHY,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Acamarian,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aerophibian,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L5,UNKNOWN,FALSE,"Manta ray-like humanoids from a misty planet H-class planet, who can fly and swim at supersonic speeds and shoot neuroshock blasts from their eyes and tails to disable a victims nervous system."
Arcellans,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arcturians,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Banik,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Banmerian,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bann ,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bannermen,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Boolite,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bothans,,COMMON,BRONZE,H,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Drahvins,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Drayan,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Droaghe,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Durinam,,COMMON,BRONZE,R,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Oans,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Ocalada,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Oecules,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Ogrons,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Orcsimal,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Sykoof,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Symijra,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Syreddyen,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Taelmus,,COMMON,BRONZE,M,OCEAN,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Baufrin,,COMMON,BRONZE,D,SUBARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Phnimnh,,COMMON,BRONZE,D,SUBARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Advelly,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Althinnal,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Amaut,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Amorphs,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Antarans,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Anticans,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aurelians,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Azwaca,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Baininia,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Chatilian,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Colatas,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Coreeshi,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Danians,,COMMON,BRONZE,H,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Gretchin,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Hamasians,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Ifshnit,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Ilanics,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Kaleds,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Kalish,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Kanamit,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Mri,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Mutzachans,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Relmarrad,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Traskans,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Tumkgrap,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Vorticon,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Xanmiran,,COMMON,BRONZE,M,SUBTROPICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Acquarans,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Advents,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aeodronians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Akrennians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L3,OUTSIDE,FALSE,Rat/ hyena-like humanoids who apparently do not dream (or bathe much.)
Akritirians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Alkari,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Allasomorph,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Amnioni,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Anabis,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Andromeni,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Annari,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Antarians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aqolis,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aquatoids,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arcadians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Argolin,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arilou Laleelay,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arnimn,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arvjula,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aschen,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Asgham,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Asurnal,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Atavus,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Auro,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Axanars,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Baalols,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bahmi,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L5,UNKNOWN,FALSE,Large blue- or violet-skinned humanoids.
Bailies,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bajanas,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bakillan,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Balarys,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L5,UNKNOWN,FALSE,Large tentacled aliens
Baltan,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Bantazar,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Baymaian,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Breeeeth,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Celestialsapien,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L2,PROTECTED,FALSE,Horned humanoids with a body similar to that of a starry night sky.
Centannen,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Charrids,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Cordanite,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Deneans,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Dlannnas,,COMMON,BRONZE,H,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Dominators,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Dracs,,COMMON,BRONZE,R,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Drengin,,COMMON,BRONZE,R,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
El-Ahramarth,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Elerians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Elmara,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Eridani,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Esperians,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Evyon,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Fithp,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L5,UNKNOWN,FALSE,Man-sized elephant-like aliens with multiple trunks.
Foamasi,,COMMON,BRONZE,R,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Gamilus,,COMMON,BRONZE,M,TEMPERATE,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
